nomImatge,numROIs,idxROISeleccionada,numCaracters,matricula
eu1.jpg,22,1,6,M5?XSX
eu10.jpg,30,1,10,Y?WA5666OZ
eu11.jpg,16,1,5,777??
eu2.jpg,5,1,7,G9?AGEI
eu3.jpg,14,14,4,??5?
eu4.jpg,17,1,9,TBIMMIANT
eu5.jpg,30,2,10,J5??Y09FEU
eu6.jpg,7,1,8,?OBY?MK4
eu7.jpg,30,2,6,?YWX4?
eu8.jpg,25,5,7,???RU?T
eu9.jpg,23,1,6,??0?77
test_001.jpg,27,1,7,PP587AO
test_002.jpg,30,1,7,0RKL5AJ
test_003.jpg,15,1,8,9S?819AK
test_004.jpg,30,1,7,RK115AN
test_005.jpg,30,6,7,TS260AK
test_006.jpg,30,1,8,9RKO99AN
test_007.jpg,30,1,8,?RK828AG
test_008.jpg,30,3,8,9LM98ATL
test_009.jpg,30,5,7,7578?J1
test_010.jpg,11,1,7,ERK2481
test_011.jpg,30,1,6,?R?6A?
test_012.jpg,30,2,7,RK291AT
test_013.jpg,10,1,8,RK857AT?
test_014.jpg,9,1,7,RK76AH?
test_015.jpg,24,3,5,?E???
test_016.jpg,30,8,7,T?B75??
test_017.jpg,15,3,7,RK867AO
test_018.jpg,8,1,7,RK?84AL
test_019.jpg,18,1,5,L?5L?
test_020.jpg,27,7,7,?RK9O6A
test_021.jpg,12,1,8,LRK855AP
test_022.jpg,7,1,7,RK875AE
test_023.jpg,11,1,7,RK6Y2AL
test_024.jpg,11,2,7,RKO26A7
test_025.jpg,12,2,10,1IRK896A9O
test_026.jpg,20,1,8,RK?492AU
test_027.jpg,30,1,7,7W????T
test_028.jpg,26,2,7,?LM33BD
test_029.jpg,29,2,8,M?0T0BET
test_030.jpg,18,1,8,RK819AM?
test_031.jpg,9,2,7,RK6?9AS
test_032.jpg,19,1,7,RK763AS
test_033.jpg,23,1,8,9RKO82AL
test_034.jpg,20,3,7,?G47471
test_035.jpg,30,3,6,BA938O
test_036.jpg,30,1,7,??TV?T4
test_037.jpg,30,1,7,R920AR?
test_038.jpg,19,1,7,RK340A0
test_039.jpg,29,1,5,R????
test_040.jpg,30,2,7,RKYV???
test_041.jpg,19,1,6,?7????
test_042.jpg,21,1,9,?BA268TM?
test_043.jpg,14,2,6,DK64??
test_044.jpg,24,1,9,T??BY?AC?
test_045.jpg,24,1,8,NRK878AC
test_046.jpg,17,1,8,JRK?AT?1
test_047.jpg,11,1,11,W?YK161A??T
test_048.jpg,20,1,9,TRK?61AG?
test_049.jpg,16,1,10,TK??JOR?KZ
test_050.jpg,19,1,7,BBT5BO1
test_051.jpg,16,1,6,7?4??I
test_052.jpg,22,1,8,OY?X9??1
test_053.jpg,14,2,8,RK715AA7
test_054.jpg,13,1,10,?9RK262AH?
test_055.jpg,16,1,6,?N0?50
test_056.jpg,18,2,6,K3OOA?
test_057.jpg,15,1,5,RK?AS
test_058.jpg,30,2,7,7L????L
test_059.jpg,17,1,8,?BA902OZ
test_060.jpg,12,1,9,?HA9?O2OZ
test_061.jpg,24,1,8,MT456BJ?
test_062.jpg,20,3,7,??LL??1
test_063.jpg,9,1,9,102579O?F
test_064.jpg,18,1,7,?BM222?
test_065.jpg,21,1,8,4?O49Z9T
test_066.jpg,9,2,10,NFORNA?TKA
test_067.jpg,20,1,10,?TTTTTT?TT
test_068.jpg,16,1,7,1B19839
test_069.jpg,13,1,7,4?4O2?2
test_070.jpg,20,1,7,2?4O211
test_071.jpg,9,1,6,1Z?233
test_072.jpg,15,1,7,4?3?3?6
test_073.jpg,20,1,8,X??9726?
test_074.jpg,17,1,7,3?2?4?5
test_075.jpg,14,1,6,M??77T
test_076.jpg,17,1,7,4U2Y0X5
test_077.jpg,20,1,7,RK735AS
test_078.jpg,30,2,8,?RK457AS
test_079.jpg,22,1,6,R959A?
test_080.jpg,23,2,7,RKOO3A?
test_081.jpg,29,1,8,9RK641AL
test_082.jpg,30,1,12,5STRK?891??F
test_083.jpg,30,1,5,???5S
test_084.jpg,23,1,8,TP0722B?
test_085.jpg,30,3,7,RK959A?
test_086.jpg,16,1,9,9RK376AF?
test_087.jpg,7,1,7,RKTD11A
test_088.jpg,29,2,7,LMT69AM
test_089.jpg,30,1,8,RK9565AY
test_090.jpg,16,1,8,RK550AOL
test_091.jpg,30,1,7,RK977AF
test_092.jpg,26,2,8,RK373AK?
test_093.jpg,21,1,7,RK93O1H
test_094.jpg,30,2,9,RK?069AY?
test_095.jpg,29,2,7,1TZ7?W?
test_096.jpg,30,1,11,1RK735AS??Z
test_097.jpg,30,1,9,RK9603A?1
